FOLIO,ELECCION,SECCION,CASILLA,NUMERO,DISTRITO,MUNICIPIO,LISTA NOMINAL,PAN,PRI,PRD,PT,PVEM,PUDC,PMC,PNA,PSDI,PPC,PJ,PRC,PCP,MORENA,PES,GUERRERO GARCIA JAVIER,SALINAS VALDEZ LUIS HORACIO,CANDIDATO INDEPENDIENTE 1,VOTOS CNR,VOTOS NULOS,COAL1,COAL2,FECHA Y HORA DE REPORTE,INCLUIDA EN LA MUESTRA
10019,G,7,B,,1,2,584,79,88,6,1,1,100,0,3,0,1,4,1,0,8,0,26,0,0,0,2,5,0,6/5/2017 0:13,SI
10020,G,7,C,1,1,2,584,68,95,8,5,4,88,0,1,0,2,8,0,0,12,0,33,0,0,0,8,0,0,6/5/2017 0:17,SI
10030,G,10,C,7,1,2,713,87,91,23,6,6,145,0,2,2,0,17,0,0,27,1,16,1,0,0,6,3,1,6/4/2017 21:50,SI
10041,G,10,C,18,1,2,712,65,110,16,6,5,135,0,2,0,0,8,0,1,25,1,14,0,0,0,1,7,2,6/4/2017 21:42,SI
10042,G,10,C,19,1,2,712,70,129,15,2,3,111,0,2,0,1,15,1,0,17,1,24,0,0,0,8,4,0,6/4/2017 21:37,SI
10043,G,11,B,,1,2,647,58,119,16,6,2,132,0,3,1,0,2,0,1,20,1,24,0,0,0,7,4,2,6/4/2017 23:52,SI
10045,G,11,C,2,1,2,610,52,98,14,1,2,138,0,2,2,0,2,0,0,10,1,20,2,0,0,8,0,0,6/4/2017 23:55,SI
10078,G,20,B,,1,2,463,55,67,3,1,0,90,0,2,0,1,3,0,0,12,1,22,0,0,0,4,8,0,6/4/2017 20:17,SI
10090,G,27,B,,1,2,420,39,55,7,2,2,83,0,1,2,0,6,1,0,8,2,13,0,0,0,3,3,1,6/4/2017 22:37,SI
10178,G,42,C,2,5,3,621,107,105,1,8,2,78,0,9,0,0,1,1,1,17,0,36,0,0,0,10,8,0,6/5/2017 0:21,SI
10179,G,42,C,3,5,3,621,104,121,4,4,1,72,0,11,1,1,1,0,1,22,0,33,1,0,0,2,6,0,6/5/2017 0:26,SI
10189,G,47,B,,5,3,537,81,112,3,8,1,82,0,5,1,0,1,0,1,25,0,19,1,0,0,3,5,3,6/4/2017 22:12,SI
10190,G,47,C,1,5,3,536,87,133,5,5,1,87,0,1,1,0,0,0,0,17,0,17,0,0,0,5,1,2,6/4/2017 20:51,SI
10191,G,47,C,2,5,3,536,103,96,2,3,0,82,0,7,0,1,0,0,1,31,0,23,1,0,0,7,3,0,6/4/2017 23:18,SI
10202,G,53,C,1,5,3,379,81,86,2,6,1,33,0,3,0,1,0,0,0,23,0,17,0,0,0,9,4,1,6/4/2017 20:09,SI
