FOLIO,DIST_LOC,ECAS,SECCION,CASILLA,DIST_FED,ARE,CLAVE
13622,1,313,1515,B,1,1,78289
10011,1,723,4,C4,1,2,47572
10012,1,723,4,C5,1,2,47572
10019,1,584,7,B,1,3,26945
10020,1,584,7,C1,1,3,26945
10086,1,613,25,B,1,6,32896
10148,1,590,1684,B,1,7,74486
10167,1,495,1703,B,1,8,96738
10168,1,397,1704,B,1,8,96738
10151,1,385,1687,B,1,9,52459
10156,1,617,1692,B,1,9,52459
10170,1,657,1706,B,1,11,65448
10078,1,463,20,B,1,12,34734
10090,1,420,27,B,1,13,86358
10133,1,583,37,B,1,14,75386
10127,1,724,35,C2,1,16,59767
10518,1,553,241,B,1,19,69323
10526,1,530,245,C2,1,20,66429
10528,1,656,246,C1,1,20,66429
10520,1,748,242,C1,1,21,72476
10523,1,669,244,B,1,22,36476
13607,1,654,1506,B,1,24,92942
13614,1,733,1509,B,1,24,92942
13617,1,747,1511,B,1,24,92942
13609,1,556,1507,B,1,25,58746
11091,2,692,516,C2,1,29,92658
11093,2,461,517,C1,1,29,92658
11070,2,581,508,C1,1,30,68777
11080,2,727,512,C1,1,32,53464
11097,2,641,519,B,1,33,22395
13604,5,627,1502,C1,1,34,28888
13597,5,716,1498,B,1,35,57572
13600,5,483,1500,B,1,35,57572
10178,5,621,42,C2,1,36,97238
10179,5,621,42,C3,1,36,97238
10186,5,728,45,B,1,37,72848
10189,5,537,47,B,1,38,33233
10190,5,536,47,C1,1,38,33233
10191,5,536,47,C2,1,38,33233
10195,5,568,50,B,1,38,33233
10204,5,611,54,C1,1,38,33233
10202,5,379,53,C1,1,39,34258
10199,5,682,51,C2,1,40,58726
11212,2,609,585,C1,1,44,22235
11231,2,630,588,B,1,44,22235
11250,2,565,600,B,1,45,86324
11255,2,387,602,C1,1,47,28546
11282,2,747,619,B,1,48,48239
11251,2,586,601,B,1,49,75322
11253,2,586,601,C2,1,49,75322
11278,2,413,617,C1,1,51,23359
11300,2,680,623,C8,1,51,23359
11259,2,563,606,B,1,52,67547
11260,2,563,606,C1,1,52,67547
11281,2,531,618,C2,1,52,67547
11268,2,579,612,C1,1,53,87893
11269,2,579,612,C2,1,53,87893
11307,2,733,627,B,1,54,67557
11345,2,569,639,B,1,56,59228
11347,2,568,639,C2,1,56,59228
11343,2,648,638,C2,1,58,75235
11348,2,690,640,B,1,59,43563
11285,2,747,621,B,1,60,67662
11204,2,721,580,C9,1,61,34745
11364,2,563,1550,C2,1,61,34745
11368,2,418,1553,B,1,62,54377
11370,2,575,1554,B,1,62,54377
11391,2,494,1566,C1,1,63,62396
11187,2,634,577,B,1,66,53622
11190,2,633,577,C3,1,66,53622
11194,2,532,579,B,1,66,53622
11202,2,721,580,C7,1,67,45385
11355,2,343,642,B,1,67,45385
11358,2,245,644,B,1,67,45385
10023,1,713,10,B,1,68,82697
10030,1,713,10,C7,1,69,46943
10037,1,713,10,C14,1,70,57695
10038,1,713,10,C15,1,70,57695
10041,1,712,10,C18,1,71,59685
10042,1,712,10,C19,1,71,59685
10043,1,647,11,B,1,71,59685
10045,1,610,11,C2,1,71,59685
11207,2,746,581,C2,1,72,77267
11230,2,730,587,C8,1,72,77267
11195,2,722,580,B,1,75,66578
11198,2,722,580,C3,1,75,66578
11201,2,721,580,C6,1,75,66578
10068,1,697,19,C4,1,76,59537
10069,1,697,19,C5,1,76,59537
10073,1,697,19,C9,1,77,42935
10075,1,697,19,C11,1,77,42935
10101,1,703,31,C2,1,79,46573
10102,1,703,31,C3,1,79,46573
10139,1,648,41,C4,1,82,63268
10140,1,647,41,C5,1,82,63268
11319,2,704,633,B,1,84,45539
11315,2,648,631,B,1,86,54329
11388,2,497,1565,B,1,87,98854
11377,2,509,1559,B,1,88,89659
13621,1,605,1513,C1,1,90,58244
11293,2,681,623,C1,1,93,83237
11294,2,681,623,C2,1,93,83237
11295,2,681,623,C3,1,93,83237
10296,4,379,114,B,2,1,73568
10295,4,668,113,C1,2,2,29744
10305,4,133,121,B,2,4,62674
10307,4,516,123,B,2,5,46287
10318,7,641,131,B,2,6,77936
10319,7,641,131,C1,2,6,77936
10327,7,574,134,C1,2,7,64697
10330,7,742,135,B,2,7,64697
10338,7,474,139,B,2,8,98223
10346,7,511,143,B,2,11,46322
10349,7,670,144,B,2,11,46322
10357,7,592,147,C1,2,12,66935
10391,7,503,171,B,2,14,92222
10375,7,472,159,C1,2,17,42357
10385,7,591,168,B,2,18,32487
10386,7,591,168,C1,2,18,32487
10389,7,514,169,C2,2,18,32487
10383,7,721,166,B,2,20,26484
10396,6,677,173,C2,2,21,33928
10398,6,677,173,C4,2,21,33928
10404,6,627,174,C3,2,22,94799
10411,6,601,176,B,2,24,28584
10428,6,560,183,C1,2,25,64468
10429,6,617,184,B,2,25,64468
10453,6,575,195,B,2,28,48589
10432,6,742,185,C1,2,29,73264
10460,6,747,198,C1,2,32,89633
10462,6,663,199,C1,2,32,89633
10465,6,386,201,B,2,33,65668
10475,6,586,206,C1,2,34,88965
10476,6,661,207,B,2,35,97877
10485,6,710,211,C1,2,36,84468
10969,3,566,451,B,2,39,69962
10975,3,669,453,C1,2,40,22497
10988,3,522,459,B,2,40,22497
10976,3,705,454,B,2,41,72985
10982,3,620,457,B,2,41,72985
