estado,num_muestra,corte,candidato,LI,LS
MEX,1,50,CAND_0,10.2233775,12.607314999999996
MEX,1,50,CAND_1,30.465975,35.3143875
MEX,1,50,CAND_2,16.539270000000002,19.7619175
MEX,1,50,CAND_3,0.942468925,1.238799249999999
MEX,1,50,CAND_4,28.9720325,33.851855
MEX,1,50,CAND_5,1.941387499999999,2.4431855
MEX,1,50,OTROS,2.64505125,3.34349325
MEX,1,50,PART,52.3793325,54.09151
MEX,1,75,CAND_0,10.596937500000001,11.881395
MEX,1,75,CAND_1,32.076102500000005,34.67711
MEX,1,75,CAND_2,17.1529525,18.933455
MEX,1,75,CAND_3,1.025255,1.218317999999999
MEX,1,75,CAND_4,29.789097499999993,32.400507499999996
MEX,1,75,CAND_5,2.0409835000000003,2.3576747499999997
MEX,1,75,OTROS,2.7802845,3.16874625
MEX,1,75,PART,52.369137499999994,53.701745
MEX,1,90,CAND_0,10.7775225,11.6336075
MEX,1,90,CAND_1,32.640752500000005,34.12844
MEX,1,90,CAND_2,17.55394,18.66271
MEX,1,90,CAND_3,1.0610274999999991,1.200068999999999
MEX,1,90,CAND_4,30.250652499999998,31.7539725
MEX,1,90,CAND_5,2.07863,2.28290925
MEX,1,90,OTROS,2.867846999999999,3.115856749999999
MEX,1,90,PART,52.507332500000004,53.8141525
MEX,1,100,CAND_0,10.7740675,11.421330000000001
MEX,1,100,CAND_1,32.715062499999995,33.74553
MEX,1,100,CAND_2,17.818737499999997,18.650785
MEX,1,100,CAND_3,1.066268,1.186954749999999
MEX,1,100,CAND_4,30.5882975,31.6487025
MEX,1,100,CAND_5,2.083386999999999,2.252330999999999
MEX,1,100,OTROS,2.9165674999999998,3.115054499999999
MEX,1,100,PART,52.73946000000001,53.8329625
MEX,2,50,CAND_0,9.82716625,12.0025525
MEX,2,50,CAND_1,31.847837499999997,36.812055
MEX,2,50,CAND_2,15.824804999999998,18.822297499999998
MEX,2,50,CAND_3,0.9506119000000001,1.279574499999999
MEX,2,50,CAND_4,28.8951375,33.5487475
MEX,2,50,CAND_5,1.940032,2.447039999999999
MEX,2,50,OTROS,2.6694519999999997,3.386865749999999
MEX,2,50,PART,52.5622425,54.164155
MEX,2,75,CAND_0,10.513599999999999,11.819975000000001
MEX,2,75,CAND_1,32.4838475,35.1378625
MEX,2,75,CAND_2,16.829645,18.5547525
MEX,2,75,CAND_3,0.999480275,1.202880749999999
MEX,2,75,CAND_4,29.7919675,32.2858775
MEX,2,75,CAND_5,2.055582999999999,2.35498575
MEX,2,75,OTROS,2.769954249999999,3.174507999999999
MEX,2,75,PART,52.768634999999996,54.00872999999999
MEX,2,90,CAND_0,10.74108,11.5909625
MEX,2,90,CAND_1,32.92232,34.3624775
MEX,2,90,CAND_2,17.361012499999998,18.4084225
MEX,2,90,CAND_3,1.03041825,1.173570499999999
MEX,2,90,CAND_4,30.366932499999997,31.742817499999997
MEX,2,90,CAND_5,2.1140235,2.32597175
MEX,2,90,OTROS,2.80183325,3.0600277499999997
MEX,2,90,PART,52.98864999999999,54.17624
