"estado","num_muestra","corte","candidato","LI","LS"
"MEX",1,50,"CAND_0",10.3688037766351,11.8910706387275
"MEX",1,50,"CAND_1",31.679731651345,34.1328640824092
"MEX",1,50,"CAND_2",17.4826497213277,19.3657166840949
"MEX",1,50,"CAND_3",0.941508019440116,1.22941046991518
"MEX",1,50,"CAND_4",30.1618892505144,32.5078034307828
"MEX",1,50,"CAND_5",1.95391526341493,2.40439154723847
"MEX",1,50,"OTROS",2.71980536576699,3.16602592286825
"MEX",1,50,"PART",51.4005080059293,55.5966665885753
"MEX",1,75,"CAND_0",10.6224579381625,11.6083708712609
"MEX",1,75,"CAND_1",32.1801150190912,33.8728217694598
"MEX",1,75,"CAND_2",17.6722365887388,18.9252602683593
"MEX",1,75,"CAND_3",1.0159526739424,1.20813079154056
"MEX",1,75,"CAND_4",30.5540939165499,32.1181700020407
"MEX",1,75,"CAND_5",2.06324104388582,2.29550397113734
"MEX",1,75,"OTROS",2.77621793655391,3.0678570301468
"MEX",1,75,"PART",52.2582163966196,54.718629889342
"MEX",1,90,"CAND_0",10.6731983229007,11.5562778527757
"MEX",1,90,"CAND_1",32.4343290166133,33.8389176634952
"MEX",1,90,"CAND_2",17.7758947400165,18.9017765472352
"MEX",1,90,"CAND_3",1.04034500052305,1.19392999761141
"MEX",1,90,"CAND_4",30.4888102299377,31.8228314323265
"MEX",1,90,"CAND_5",2.07810776654675,2.27816553655628
"MEX",1,90,"OTROS",2.83085172312807,3.07897645421317
"MEX",1,90,"PART",52.461273487136,54.5461424583849
"MEX",1,100,"CAND_0",10.6724014011503,11.4613244485078
"MEX",1,100,"CAND_1",32.4258988495639,33.6750528126545
"MEX",1,100,"CAND_2",17.9030505177045,18.9285952632576
"MEX",1,100,"CAND_3",1.03990972769288,1.18709173139188
"MEX",1,100,"CAND_4",30.6108229380144,31.8024153478422
"MEX",1,100,"CAND_5",2.06629007088006,2.25077239287149
"MEX",1,100,"OTROS",2.86645418672845,3.09018504134433
"MEX",1,100,"PART",52.5964419220247,54.5040820222774
"MEX",2,50,"CAND_0",10.2167372896282,11.8299951759976
"MEX",2,50,"CAND_1",33.0191667900811,35.1498639247002
"MEX",2,50,"CAND_2",16.320710984497,18.2048878377929
"MEX",2,50,"CAND_3",0.957069345922778,1.19490827166321
"MEX",2,50,"CAND_4",30.3688720311559,32.4833245113967
"MEX",2,50,"CAND_5",2.01619265648444,2.31950236890383
"MEX",2,50,"OTROS",2.75302812697015,3.10307786920495
"MEX",2,50,"PART",51.759490912245,55.096441599287
"MEX",2,75,"CAND_0",10.5809775357656,11.5653401270214
"MEX",2,75,"CAND_1",33.1348938984852,35.0784432975852
"MEX",2,75,"CAND_2",17.0468644160997,18.5091030529632
"MEX",2,75,"CAND_3",0.998312779095591,1.15706544860233
"MEX",2,75,"CAND_4",30.0921190453549,31.7671799617084
"MEX",2,75,"CAND_5",1.99992722150058,2.263723968075
"MEX",2,75,"OTROS",2.75459214065385,3.08613889469087
"MEX",2,75,"PART",52.1344853922254,55.1029368053484
"MEX",2,90,"CAND_0",10.6512102484991,11.5594219431086
"MEX",2,90,"CAND_1",33.172558279901,34.5910971595547
"MEX",2,90,"CAND_2",17.3598627107805,18.5349453221702
"MEX",2,90,"CAND_3",1.01643073078747,1.15420133157257
"MEX",2,90,"CAND_4",30.2801009503845,31.5516470544613
"MEX",2,90,"CAND_5",2.06874281052476,2.26649937071159
"MEX",2,90,"OTROS",2.76612608369254,3.02033754986655
