estado,num_muestra,corte,candidato,LI,LS
COAH,1,50,CAND_0,34.16,36.93
COAH,1,50,CAND_1,38.04,41.14
COAH,1,50,CAND_2,1.4,1.87
COAH,1,50,CAND_3,1.48,1.76
COAH,1,50,CAND_4,10.97,12.39
COAH,1,50,CAND_5,7.37,8.65
COAH,1,50,OTROS,1.76,2.08
COAH,1,50,PART,56.62,58.16
COAH,2,50,CAND_0,33.93,36.17
COAH,2,50,CAND_1,38.71,41.69
COAH,2,50,CAND_2,1.6,2.1
COAH,2,50,CAND_3,1.41,1.67
COAH,2,50,CAND_4,11.38,12.47
COAH,2,50,CAND_5,6.99,8.27
COAH,2,50,OTROS,1.66,1.95
COAH,2,50,PART,56.15,57.89
COAH,3,50,CAND_0,36.09,38.94
COAH,3,50,CAND_1,35.34,38.36
COAH,3,50,CAND_2,1.52,1.97
COAH,3,50,CAND_3,1.29,1.57
COAH,3,50,CAND_4,11.43,12.54
COAH,3,50,CAND_5,8.18,9.53
COAH,3,50,OTROS,1.5,1.75
COAH,3,50,PART,57.16,58.78
COAH,4,50,CAND_0,36.24,39.42
COAH,4,50,CAND_1,34.55,37.76
COAH,4,50,CAND_2,1.42,2.02
COAH,4,50,CAND_3,1.29,1.64
COAH,4,50,CAND_4,11.43,12.83
COAH,4,50,CAND_5,8.12,9.72
COAH,4,50,OTROS,1.63,1.94
COAH,4,50,PART,57.4,59.18
COAH,5,50,CAND_0,35.2,38.14
COAH,5,50,CAND_1,36.98,40.23
COAH,5,50,CAND_2,1.47,1.83
COAH,5,50,CAND_3,1.33,1.62
COAH,5,50,CAND_4,10.45,11.82
COAH,5,50,CAND_5,7.91,9.44
COAH,5,50,OTROS,1.65,1.93
COAH,5,50,PART,57.84,59.83
COAH,6,50,CAND_0,35.75,38.71
COAH,6,50,CAND_1,35.01,37.81
COAH,6,50,CAND_2,1.5,2
COAH,6,50,CAND_3,1.31,1.56
COAH,6,50,CAND_4,12.04,13.39
COAH,6,50,CAND_5,7.91,9.51
COAH,6,50,OTROS,1.61,1.88
COAH,6,50,PART,57.09,59.33
COAH,7,50,CAND_0,36.42,38.79
COAH,7,50,CAND_1,34.71,37.18
COAH,7,50,CAND_2,1.39,1.8
COAH,7,50,CAND_3,1.41,1.66
COAH,7,50,CAND_4,12.3,13.38
COAH,7,50,CAND_5,8.09,9.31
COAH,7,50,OTROS,1.62,1.95
COAH,7,50,PART,55.21,57.27
COAH,8,50,CAND_0,35.39,38.31
COAH,8,50,CAND_1,35.04,38.18
COAH,8,50,CAND_2,1.37,1.74
COAH,8,50,CAND_3,1.29,1.58
COAH,8,50,CAND_4,12.26,14.31
COAH,8,50,CAND_5,7.61,9.25
COAH,8,50,OTROS,1.69,1.99
COAH,8,50,PART,56.43,58.63
COAH,9,50,CAND_0,35.64,38.15
COAH,9,50,CAND_1,35.83,38.51
COAH,9,50,CAND_2,1.37,1.65
COAH,9,50,CAND_3,1.43,1.71
COAH,9,50,CAND_4,12.24,13.75
COAH,9,50,CAND_5,7.49,8.63
COAH,9,50,OTROS,1.66,1.93
COAH,9,50,PART,56.57,58.26
COAH,10,50,CAND_0,32.02,34.53
COAH,10,50,CAND_1,39.2,41.94
COAH,10,50,CAND_2,1.6,2.17
COAH,10,50,CAND_3,1.47,1.75
COAH,10,50,CAND_4,12.41,13.74
COAH,10,50,CAND_5,7.12,8.43
COAH,10,50,OTROS,1.66,1.97
COAH,10,50,PART,55.5,57.12
COAH,11,50,CAND_0,33.82,36.58
COAH,11,50,CAND_1,37.49,40.55
COAH,11,50,CAND_2,1.42,1.95
COAH,11,50,CAND_3,1.39,1.67
COAH,11,50,CAND_4,11.27,12.74
COAH,11,50,CAND_5,7.88,9.44
COAH,11,50,OTROS,1.75,2.06
COAH,11,50,PART,55.92,58.11
COAH,12,50,CAND_0,34.46,37.73
COAH,12,50,CAND_1,37.47,40.99
COAH,12,50,CAND_2,1.33,1.74
COAH,12,50,CAND_3,1.27,1.55
COAH,12,50,CAND_4,10.63,11.75
COAH,12,50,CAND_5,7.89,9.58
COAH,12,50,OTROS,1.67,1.94
COAH,12,50,PART,56.66,58.26
COAH,13,50,CAND_0,34.02,36.91
COAH,13,50,CAND_1,37.31,40.32
COAH,13,50,CAND_2,1.61,2.21
COAH,13,50,CAND_3,1.37,1.64
COAH,13,50,CAND_4,11.29,12.36
COAH,13,50,CAND_5,7.89,9.43
COAH,13,50,OTROS,1.68,1.97
COAH,13,50,PART,57.17,58.73
COAH,14,50,CAND_0,34.58,37.89
COAH,14,50,CAND_1,37.28,40.54
COAH,14,50,CAND_2,1.32,1.78
COAH,14,50,CAND_3,1.32,1.58
COAH,14,50,CAND_4,11.24,12.58
COAH,14,50,CAND_5,7.39,8.85
COAH,14,50,OTROS,1.67,1.98
COAH,14,50,PART,56.14,58.07
COAH,15,50,CAND_0,34.84,37.85
COAH,15,50,CAND_1,37.42,40.34
COAH,15,50,CAND_2,1.37,1.75
COAH,15,50,CAND_3,1.38,1.65
COAH,15,50,CAND_4,11.16,12.31
COAH,15,50,CAND_5,7.36,8.83
COAH,15,50,OTROS,1.75,1.98
COAH,15,50,PART,56.93,58.38
COAH,16,50,CAND_0,35.4,37.75
COAH,16,50,CAND_1,35.66,38.14
COAH,16,50,CAND_2,1.48,1.9
COAH,16,50,CAND_3,1.34,1.6
COAH,16,50,CAND_4,12.42,13.65
COAH,16,50,CAND_5,7.96,9.37
COAH,16,50,OTROS,1.54,1.78
COAH,16,50,PART,57.12,58.7
COAH,17,50,CAND_0,34.42,36.99
COAH,17,50,CAND_1,37.7,40.64
COAH,17,50,CAND_2,1.55,1.98
COAH,17,50,CAND_3,1.46,1.69
COAH,17,50,CAND_4,11.32,12.51
COAH,17,50,CAND_5,7.4,8.51
COAH,17,50,OTROS,1.75,2.08
COAH,17,50,PART,56.54,58.1
COAH,18,50,CAND_0,35.43,38.18
COAH,18,50,CAND_1,36.36,39.03
COAH,18,50,CAND_2,1.37,1.9
COAH,18,50,CAND_3,1.44,1.71
COAH,18,50,CAND_4,11.5,12.77
COAH,18,50,CAND_5,7.43,9.4
COAH,18,50,OTROS,1.59,1.89
COAH,18,50,PART,56.89,58.7
COAH,19,50,CAND_0,36.46,39.8
COAH,19,50,CAND_1,34.08,37.35
COAH,19,50,CAND_2,1.42,1.84
COAH,19,50,CAND_3,1.31,1.58
COAH,19,50,CAND_4,11.63,12.82
COAH,19,50,CAND_5,8.18,9.92
COAH,19,50,OTROS,1.64,1.96
COAH,19,50,PART,57.67,59.25
COAH,20,50,CAND_0,36.6,39.75
COAH,20,50,CAND_1,35.07,38.42
COAH,20,50,CAND_2,1.39,1.93
COAH,20,50,CAND_3,1.29,1.56
COAH,20,50,CAND_4,11.63,12.98
COAH,20,50,CAND_5,7.32,8.47
COAH,20,50,OTROS,1.63,1.97
COAH,20,50,PART,56.78,58.7
COAH,21,50,CAND_0,33.15,35.5
COAH,21,50,CAND_1,38.08,40.91
COAH,21,50,CAND_2,1.45,1.77
COAH,21,50,CAND_3,1.43,1.72
COAH,21,50,CAND_4,12.14,13.58
COAH,21,50,CAND_5,7.55,9.06
COAH,21,50,OTROS,1.66,1.99
COAH,21,50,PART,56.73,58.38
COAH,22,50,CAND_0,33.76,36.38
COAH,22,50,CAND_1,37.21,40.06
COAH,22,50,CAND_2,1.48,2.07
COAH,22,50,CAND_3,1.41,1.74
COAH,22,50,CAND_4,11.64,12.88
