estado,num_muestra,corte,candidato,LI,LS
MEX,1,50,CAND_0,10.88,11.97
MEX,1,50,CAND_1,32.02,33.93
MEX,1,50,CAND_2,17.68,18.99
MEX,1,50,CAND_3,0.97,1.14
MEX,1,50,CAND_4,30.28,31.9
MEX,1,50,CAND_5,2.06,2.31
MEX,1,50,OTROS,2.78,3.08
MEX,1,50,PART,52.72,54.22
MEX,2,50,CAND_0,10.41,11.5
MEX,2,50,CAND_1,33.27,34.94
MEX,2,50,CAND_2,16.83,17.94
MEX,2,50,CAND_3,0.99,1.22
MEX,2,50,CAND_4,30.6,32.03
MEX,2,50,CAND_5,2.04,2.28
MEX,2,50,OTROS,2.83,3.12
MEX,2,50,PART,52.74,54.12
MEX,3,50,CAND_0,10.9,12.01
MEX,3,50,CAND_1,31.6,33.52
MEX,3,50,CAND_2,17.42,19.28
MEX,3,50,CAND_3,1,1.2
MEX,3,50,CAND_4,30.7,32.39
MEX,3,50,CAND_5,2.07,2.31
MEX,3,50,OTROS,2.68,2.94
MEX,3,50,PART,52.78,54.24
MEX,4,50,CAND_0,11.29,12.65
MEX,4,50,CAND_1,33.55,35.36
MEX,4,50,CAND_2,16.47,17.69
MEX,4,50,CAND_3,1.01,1.2
MEX,4,50,CAND_4,29.4,31.06
MEX,4,50,CAND_5,2.1,2.32
MEX,4,50,OTROS,2.78,3.1
MEX,4,50,PART,52.6,53.94
MEX,5,50,CAND_0,10.84,12.07
MEX,5,50,CAND_1,32.41,34.6
MEX,5,50,CAND_2,17.2,18.59
MEX,5,50,CAND_3,1.02,1.21
MEX,5,50,CAND_4,29.99,32.06
MEX,5,50,CAND_5,1.97,2.17
MEX,5,50,OTROS,2.8,3.07
MEX,5,50,PART,52.59,54.05
MEX,6,50,CAND_0,10.58,11.84
MEX,6,50,CAND_1,33.11,34.84
MEX,6,50,CAND_2,17.38,18.75
MEX,6,50,CAND_3,0.97,1.2
MEX,6,50,CAND_4,29.63,31.45
MEX,6,50,CAND_5,2.02,2.25
MEX,6,50,OTROS,2.84,3.13
MEX,6,50,PART,52.37,53.86
MEX,7,50,CAND_0,10.73,11.94
MEX,7,50,CAND_1,32.27,34.16
MEX,7,50,CAND_2,16.89,18.21
MEX,7,50,CAND_3,1.02,1.25
MEX,7,50,CAND_4,30.96,32.54
MEX,7,50,CAND_5,2.01,2.26
MEX,7,50,OTROS,2.75,3.02
MEX,7,50,PART,51.93,53.27
MEX,8,50,CAND_0,10.89,12.06
MEX,8,50,CAND_1,33.35,35.27
MEX,8,50,CAND_2,16.83,18.36
MEX,8,50,CAND_3,1.04,1.26
MEX,8,50,CAND_4,29.47,30.97
MEX,8,50,CAND_5,2.1,2.35
MEX,8,50,OTROS,2.87,3.17
MEX,8,50,PART,52.81,54.16
MEX,9,50,CAND_0,10.94,12.09
MEX,9,50,CAND_1,33.23,35.17
MEX,9,50,CAND_2,16.61,18.11
MEX,9,50,CAND_3,0.92,1.16
MEX,9,50,CAND_4,29.93,31.52
MEX,9,50,CAND_5,1.94,2.15
MEX,9,50,OTROS,2.96,3.26
MEX,9,50,PART,53.07,54.43
MEX,10,50,CAND_0,11.14,12.41
MEX,10,50,CAND_1,31.77,33.4
MEX,10,50,CAND_2,17.92,19.32
MEX,10,50,CAND_3,0.93,1.1
MEX,10,50,CAND_4,30.08,31.6
MEX,10,50,CAND_5,2.03,2.28
MEX,10,50,OTROS,2.86,3.16
MEX,10,50,PART,53.19,54.69
MEX,11,50,CAND_0,10.79,12
MEX,11,50,CAND_1,32.42,34.66
MEX,11,50,CAND_2,16.9,18.28
MEX,11,50,CAND_3,0.99,1.19
MEX,11,50,CAND_4,30.5,32.36
MEX,11,50,CAND_5,1.96,2.2
MEX,11,50,OTROS,2.73,3.01
MEX,11,50,PART,52.78,54.22
MEX,12,50,CAND_0,10.52,11.77
MEX,12,50,CAND_1,34.2,36.14
MEX,12,50,CAND_2,17.35,18.71
MEX,12,50,CAND_3,1.01,1.21
MEX,12,50,CAND_4,28.53,30.29
MEX,12,50,CAND_5,2.04,2.3
MEX,12,50,OTROS,2.8,3.12
MEX,12,50,PART,52.27,53.77
MEX,13,50,CAND_0,10.84,12.1
MEX,13,50,CAND_1,32.14,34.18
MEX,13,50,CAND_2,17.02,18.31
MEX,13,50,CAND_3,1.03,1.2
